Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,81.250000,82.010002,80.779999,81.540001,80.460083,7112200
2022-04-08,81.709999,81.830002,80.260002,80.940002,79.868027,6182500
2022-04-11,80.629997,81.129997,79.699997,79.760002,78.703667,5738400
2022-04-12,79.949997,80.989998,79.019997,79.330002,78.279358,6174700
2022-04-13,79.260002,79.959999,78.629997,79.750000,78.693787,4728600
2022-04-14,79.830002,80.360001,79.320000,79.449997,78.397758,5590400
2022-04-18,79.150002,79.980003,77.910004,78.220001,77.184052,4955900
2022-04-19,78.250000,79.779999,78.239998,79.559998,78.506302,5412400
2022-04-20,79.790001,81.860001,79.790001,80.290001,79.226639,9472600
2022-04-21,81.489998,81.599998,79.330002,79.480003,78.427368,5616100
2022-04-22,79.269997,79.699997,76.160004,76.209999,75.200668,9357100
2022-04-25,76.199997,77.059998,74.699997,76.980003,75.960480,7305900
2022-04-26,76.349998,76.650002,74.480003,74.510002,73.523186,7555200
2022-04-27,74.580002,76.019997,74.419998,74.760002,73.769882,7279200
2022-04-28,75.519997,76.629997,74.599998,76.139999,75.131599,6177900
2022-04-29,75.339996,75.870003,73.150002,73.400002,72.427887,7946900
2022-05-02,73.930000,74.599998,72.529999,74.000000,73.019936,7379900
2022-05-03,73.849998,74.209999,72.809998,73.290001,72.319344,5211500
2022-05-04,73.379997,75.349998,72.790001,75.209999,74.213921,6759900
2022-05-05,74.000000,74.720001,71.989998,72.800003,71.835831,7197200
2022-05-06,72.129997,72.940002,71.629997,72.489998,71.529930,6222500
2022-05-09,71.639999,72.589996,71.169998,71.540001,70.592529,7019700
2022-05-10,72.500000,73.620003,71.269997,72.529999,71.569412,8129000
2022-05-11,72.309998,73.459999,70.870003,71.029999,70.089272,6932100
2022-05-12,70.879997,70.930000,68.970001,70.730003,69.793251,11698900
2022-05-13,70.959999,71.980003,70.529999,71.169998,70.227425,6700100
2022-05-16,70.690002,70.910004,69.389999,69.709999,68.786766,6942100
2022-05-17,71.050003,71.900002,70.699997,71.879997,70.928017,5952500
2022-05-18,70.800003,70.940002,67.809998,68.300003,67.395439,7977300
2022-05-19,67.480003,67.900002,66.720001,67.040001,66.152122,9451600
2022-05-20,67.879997,68.690002,66.849998,68.629997,67.721062,7531100
2022-05-23,69.309998,70.470001,68.669998,70.040001,69.112389,7370200
2022-05-24,69.669998,70.529999,68.309998,69.029999,68.115768,6644100
2022-05-25,68.879997,70.220001,68.769997,69.830002,68.905174,7103300
2022-05-26,70.129997,72.120003,69.910004,71.660004,70.710938,6758900
2022-05-27,72.360001,72.849998,71.550003,72.779999,71.816101,6566700
2022-05-31,72.230003,72.980003,71.519997,71.919998,70.967484,16890300
2022-06-01,73.019997,73.269997,71.150002,71.599998,70.651726,5804700
2022-06-02,71.480003,73.190002,71.010002,73.139999,72.171333,6200400
2022-06-03,72.559998,72.959999,71.230003,71.790001,70.839218,8169500
2022-06-06,72.629997,74.839996,72.629997,72.970001,72.003578,5274700
2022-06-07,71.589996,73.129997,71.589996,72.690002,71.727295,5675700
2022-06-08,72.010002,72.150002,70.940002,71.379997,70.434639,5253500
2022-06-09,70.769997,71.160004,69.199997,69.220001,68.303253,6824900
2022-06-10,67.980003,68.220001,66.959999,67.139999,66.250793,10256100
2022-06-13,65.779999,66.099998,63.759998,64.050003,63.201725,16547200
2022-06-14,72.000000,72.430000,69.019997,70.720001,69.783379,29661300
2022-06-15,70.449997,71.419998,68.669998,69.699997,68.776886,11765500
2022-06-16,68.500000,68.959999,67.580002,68.709999,67.800003,10686000
2022-06-17,68.750000,69.370003,67.389999,67.720001,66.823120,16445600
