Date,Open,High,Low,Close,Adj Close,Volume
2022-04-07,338.989990,344.809998,337.809998,341.769989,336.667206,2313100
2022-04-08,342.429993,344.299988,338.269989,338.920013,333.859772,2170000
2022-04-11,336.100006,337.420013,324.859985,327.269989,322.383728,2445400
2022-04-12,329.730011,333.950012,326.250000,326.730011,321.851807,1835000
2022-04-13,324.339996,327.350006,323.239990,325.589996,321.683777,2081400
2022-04-14,326.880005,328.279999,319.290009,319.470001,315.637238,2964800
2022-04-18,318.519989,321.000000,310.829987,313.600006,309.837677,2479300
2022-04-19,312.709991,320.799988,312.149994,320.570007,316.724030,1758200
2022-04-20,324.029999,328.380005,322.619995,323.670013,319.786865,2273600
2022-04-21,326.190002,330.320007,321.339996,322.309998,318.443146,1910200
2022-04-22,321.019989,323.839996,310.309998,310.799988,307.071228,1906800
2022-04-25,309.390015,317.130005,306.239990,316.820007,313.019043,2049600
2022-04-26,311.619995,315.109985,302.100006,303.100006,299.463623,2101400
2022-04-27,302.980011,309.309998,302.380005,303.100006,299.463623,1821200
2022-04-28,308.160004,316.140015,305.619995,313.839996,310.074768,2215200
2022-04-29,310.000000,311.980011,299.799988,300.359985,296.756470,2972100
2022-05-02,300.459991,306.049988,297.250000,304.600006,300.945648,2528900
2022-05-03,306.679993,307.630005,302.709991,304.820007,301.162994,2121700
2022-05-04,303.149994,315.880005,300.809998,314.859985,311.082489,1900200
2022-05-05,310.709991,312.200012,294.609985,298.700012,295.116425,2231700
2022-05-06,295.649994,297.059998,289.709991,295.739990,292.191895,2477000
2022-05-09,290.660004,292.489990,285.859985,287.489990,284.040894,2584100
2022-05-10,290.000000,292.399994,283.750000,287.589996,284.139740,2634600
2022-05-11,285.730011,288.489990,280.459991,280.940002,277.569489,2398600
2022-05-12,278.000000,281.660004,274.790009,281.209991,277.836243,2284600
2022-05-13,283.040009,288.670013,280.989990,286.769989,283.329529,2373600
2022-05-16,284.679993,288.970001,282.049988,286.170013,282.736755,1598000
2022-05-17,294.679993,294.679993,288.200012,291.070007,287.577942,1598000
2022-05-18,286.869995,287.250000,272.420013,274.160004,270.870819,2666000
2022-05-19,270.149994,278.000000,269.700012,273.609985,270.327393,2679500
2022-05-20,275.579987,278.399994,268.170013,276.649994,273.330933,3007800
2022-05-23,281.279999,283.929993,276.160004,283.390015,279.990112,2128900
2022-05-24,279.820007,281.029999,273.049988,279.309998,275.959015,2088700
2022-05-25,278.329987,281.339996,275.239990,279.640015,276.285095,1812600
2022-05-26,282.440002,292.880005,281.109985,291.549988,288.052185,2742800
2022-05-27,293.440002,304.170013,293.440002,304.149994,300.501038,2759000
2022-05-31,302.399994,303.320007,296.700012,298.459991,294.879272,4143700
2022-06-01,304.130005,306.709991,297.380005,298.649994,295.067017,1784600
2022-06-02,299.959991,306.760010,297.880005,306.619995,302.941376,1318500
2022-06-03,302.299988,306.820007,301.920013,304.950012,301.291443,1714500
2022-06-06,310.000000,312.320007,303.769989,304.730011,301.074097,1401000
2022-06-07,300.429993,306.890015,300.410004,306.529999,302.852478,2311100
2022-06-08,305.000000,307.410004,301.730011,302.640015,299.009186,1428600
2022-06-09,300.649994,302.619995,294.750000,295.429993,291.885620,2497900
2022-06-10,290.890015,291.220001,285.980011,286.010010,282.578674,2169900
2022-06-13,276.660004,281.309998,274.859985,276.500000,273.182770,2414200
2022-06-14,274.649994,277.250000,272.609985,275.119995,271.819305,2052600
2022-06-15,276.980011,285.850006,276.100006,281.190002,277.816498,2536000
2022-06-16,275.350006,275.399994,269.089996,270.899994,267.649933,2741800
2022-06-17,272.609985,278.589996,270.929993,275.380005,272.076202,4446100
2022-06-21,278.149994,284.309998,277.670013,282.730011,279.338013,2550200
2022-06-22,279.089996,290.359985,279.089996,286.399994,282.963989,2939000
2022-06-23,276.000000,286.279999,275.000000,285.829987,282.400818,3482100
2022-06-24,285.410004,299.609985,284.970001,299.369995,295.778381,4647900
2022-06-27,298.940002,301.000000,291.640015,292.619995,289.109314,2107500
2022-06-28,293.089996,296.529999,283.489990,283.799988,280.395142,2167500
